订单ID,订单日期,邮寄方式,国家,地区,省/自治区,细分,类别,子类别,制造商,产品名称,数量,销售额,利润
A1000001,2013/1/1,二级,中国,中南,湖南,公司,办公用品,收纳具,Rogers,"Rogers 文件车, 单宽度",5,3305.00 ,1322
A1000001,2013/1/1,二级,中国,中南,湖南,公司,家具,桌子,Barricks,"Barricks 圆桌, 白色",3,5289.00 ,-635
A1000001,2013/1/1,二级,中国,中南,湖南,公司,技术,电话,诺基亚,"诺基亚 智能手机, 整包",3,1725.00 ,69
A1000001,2013/1/1,二级,中国,中南,湖南,公司,技术,配件,贝尔金,"贝尔金 记忆卡, 实惠",3,1607.00 ,611
A1000003,2013/1/2,二级,中国,华东,福建,消费者,办公用品,收纳具,Rogers,"Rogers 盒, 工业",4,456.00 ,128
A1000003,2013/1/2,二级,中国,华东,福建,消费者,家具,椅子,Safco,"SAFCO 折叠椅, 黑色",1,389.00 ,23
A1000003,2013/1/2,二级,中国,华东,福建,消费者,技术,复印机,佳能,"佳能 墨水, 红色",3,2035.00 ,793
A1000003,2013/1/2,二级,中国,华东,福建,消费者,技术,电话,诺基亚,"诺基亚 充电器, 混合尺寸",7,20871.00 ,9809
A1000003,2013/1/2,二级,中国,华东,福建,消费者,技术,配件,罗技,"罗技 鼠标, 回收",2,253.00 ,83
A1000002,2013/1/2,标准级,中国,东北,辽宁,公司,办公用品,器具,Cuisinart,"Cuisinart 冰箱, 白色",3,6919.00 ,692
A1000002,2013/1/2,标准级,中国,东北,辽宁,公司,技术,配件,贝尔金,"贝尔金 键区, 回收",8,2074.00 ,414
A1000004,2013/1/3,标准级,中国,东北,辽宁,小型企业,办公用品,器具,Cuisinart,"Cuisinart 炉灶, 白色",7,10514.00 ,700
A1000004,2013/1/3,标准级,中国,东北,辽宁,小型企业,办公用品,器具,KitchenAid,"KitchenAid 冰箱, 黑色",1,1477.00 ,-566
A1000004,2013/1/3,标准级,中国,东北,辽宁,小型企业,办公用品,装订机,Ibico,"Ibico 装订机盖, 透明",5,184.00 ,-71
A1000004,2013/1/3,标准级,中国,东北,辽宁,小型企业,家具,椅子,Harbour Creations,"Harbour Creations 椅垫, 红色",2,403.00 ,-27
A1000004,2013/1/3,标准级,中国,东北,辽宁,小型企业,技术,复印机,佳能,"佳能 墨水, 数字化",2,822.00 ,96
A1000004,2013/1/3,标准级,中国,东北,辽宁,小型企业,技术,电话,思科,"思科 充电器, 混合尺寸",2,3664.00 ,-1832
A1000005,2013/1/4,标准级,中国,中南,广西,公司,办公用品,标签,Avery,"Avery 文件夹标签, 可调",14,459.00 ,229
A1000005,2013/1/4,标准级,中国,中南,广西,公司,家具,桌子,Hon,"Hon 咖啡桌, 黑色",2,2211.00 ,29
A1000006,2013/1/4,二级,中国,华北,北京,公司,办公用品,纸张,Green Bar,"Green Bar 笔记本, 优质",5,695.00 ,333
A1000006,2013/1/4,二级,中国,华北,北京,公司,家具,椅子,Hon,"Hon 摇椅, 每套两件",3,1116.00 ,-261
A1000006,2013/1/4,二级,中国,华北,北京,公司,家具,椅子,Novimex,"Novimex 摇椅, 红色",9,3312.00 ,-552
A1000010,2013/1/5,一级,中国,西南,云南,消费者,办公用品,系固件,Accos,"Accos 按钉, 金属",5,342.00 ,119
A1000009,2013/1/5,二级,中国,华北,河北,消费者,办公用品,收纳具,Rogers,"Rogers 锁柜, 蓝色",5,4938.00 ,1826
A1000009,2013/1/5,二级,中国,华北,河北,消费者,办公用品,收纳具,Smead,"Smead 盒, 单宽度",7,353.00 ,155
A1000009,2013/1/5,二级,中国,华北,河北,消费者,家具,书架,Safco,"Safco 墙角架, 黑色",4,2815.00 ,56
A1000008,2013/1/5,标准级,中国,东北,黑龙江,小型企业,技术,配件,SanDisk,"SanDisk 键区, 回收",3,447.00 ,0
A1000007,2013/1/5,标准级,中国,东北,辽宁,小型企业,办公用品,装订机,Ibico,"Ibico 装订机, 透明",6,418.00 ,75
A1000011,2013/1/6,一级,中国,东北,吉林,消费者,办公用品,标签,Avery,"Avery 文件夹标签, 白色",2,85.00 ,2
A1000011,2013/1/6,一级,中国,东北,吉林,消费者,技术,配件,SanDisk,"SanDisk 键区, 回收",2,496.00 ,198
A1000012,2013/1/7,标准级,中国,东北,辽宁,消费者,办公用品,器具,Hoover,"Hoover 微波炉, 黑色",4,3450.00 ,-1553
A1000012,2013/1/7,标准级,中国,东北,辽宁,消费者,办公用品,标签,Smead,"Smead 运输标签, 红色",3,160.00 ,70
A1000012,2013/1/7,标准级,中国,东北,辽宁,消费者,办公用品,美术,Binney & Smith,"Binney & Smith 记号笔, 金属",8,189.00 ,-493
A1000012,2013/1/7,标准级,中国,东北,辽宁,消费者,家具,椅子,Harbour Creations,"Harbour Creations 扶手椅, 可调",4,5332.00 ,444
A1000012,2013/1/7,标准级,中国,东北,辽宁,消费者,技术,电话,思科,"思科 办公室电话机, 蓝色",4,901.00 ,-421
A1000013,2013/1/8,一级,中国,中南,广东,公司,办公用品,用品,Kleencut,"Kleencut 尺子, 工业",3,128.00 ,-45
A1000013,2013/1/8,一级,中国,中南,广东,公司,办公用品,系固件,Stockwell,"Stockwell 图钉, 金属",5,186.00 ,-44
A1000013,2013/1/8,一级,中国,中南,广东,公司,办公用品,纸张,施乐,"施乐 计划信息表, 回收",2,189.00 ,64
A1000013,2013/1/8,一级,中国,中南,广东,公司,家具,书架,Sauder,"Sauder 书库, 白色",3,3277.00 ,-1475
